City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Rikitea,PF,78.76,moderate rain,-23.12,-134.97,Pension Maro'i
9,Souillac,MU,80.6,light rain,-20.52,57.52,Bils' Villa
16,Saint-Pierre,RE,84.99,clear sky,-21.34,55.48,Lindsey Hôtel
18,Cap Malheureux,MU,82.99,scattered clouds,-19.98,57.61,Pereybere Hotel & Spa
27,Bathsheba,BB,77.0,scattered clouds,13.22,-59.52,Atlantis Hotel
29,Port Blair,IN,82.78,overcast clouds,11.67,92.75,Welcomhotel Bay Island Port Blair
30,Kruisfontein,ZA,80.01,scattered clouds,-34.0,24.73,Oyster Bay House Rental
33,Bambous Virieux,MU,82.99,light rain,-20.34,57.76,Casa Tia Villa
36,East London,ZA,77.0,clear sky,-33.02,27.91,Tu Casa
38,Butaritari,KI,82.08,broken clouds,3.07,172.79,Isles Sunset Lodge
41,Sambava,MG,81.9,moderate rain,-14.27,50.17,Melrose
45,Mahibadhoo,MV,82.67,clear sky,3.78,72.97,Omadhoo Inn
48,Quatre Cocos,MU,82.99,broken clouds,-20.21,57.76,Emeraude Beach Attitude Hotel
51,Asarganj,IN,78.24,clear sky,25.15,86.68,Bhagwan poddar ji.
55,Yagoua,CM,77.81,scattered clouds,10.34,15.23,HÔTEL LE PROGRÈS
58,Bambanglipuro,ID,81.66,overcast clouds,-7.95,110.28,Puri Brata
61,Rajampet,IN,80.6,haze,14.18,79.17,Maruthi Prasanna
63,Vaini,TO,77.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
68,Saint-Philippe,RE,84.99,clear sky,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
80,Atambua,ID,81.72,moderate rain,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
94,Payakumbuh,ID,78.93,overcast clouds,-0.22,100.63,OYO 3114 Homestay Dalimo
106,Porto Novo,BJ,77.0,mist,6.5,2.6,Tour Eiffel Hotel Benin
119,Saint-Joseph,RE,84.99,clear sky,-21.37,55.62,"""Plantation Bed and Breakfast"
120,Namatanai,PG,80.91,moderate rain,-3.67,152.43,Namatanai Hotel
126,Charters Towers,AU,79.39,overcast clouds,-20.1,146.27,Cattleman's Rest Motor Inn
127,Sidlaghatta,IN,78.8,scattered clouds,13.39,77.86,Sri Venkateshwara Wood Carving works
133,Vao,NC,77.41,overcast clouds,-22.67,167.48,Hotel Kou-Bugny
135,Hithadhoo,MV,82.6,clear sky,-0.6,73.08,Scoop Guest House
144,Victoria,HK,75.0,clear sky,22.29,114.16,Mini Hotel Central
145,Esperance,AU,80.6,broken clouds,-33.87,121.9,Hospitality Esperance
148,Manokwari,ID,83.5,overcast clouds,-0.87,134.08,Swiss Belhotel Manokwari
159,Port-Gentil,GA,78.8,light rain,-0.72,8.78,Fengshui Residence
161,Pingshan,CN,78.01,clear sky,22.99,114.71,Island Skylight Resort
163,Atuona,PF,78.57,clear sky,-9.8,-139.03,Villa Enata
167,Avarua,CK,77.0,broken clouds,-21.21,-159.78,Paradise Inn
168,Alyangula,AU,80.6,light rain,-13.85,136.42,Groote Eylandt Lodge
172,Mahebourg,MU,80.6,light rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
180,Faanui,PF,80.85,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
182,Manadhoo,MV,81.79,clear sky,5.77,73.38,Vevu Guesthouse
187,Marsabit,KE,75.07,broken clouds,2.33,37.99,Chicho Hotel
195,Salalah,OM,80.6,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
201,Japura,ID,83.7,moderate rain,-0.32,102.35,Rumah mbah Jamah
207,Padang,ID,83.5,overcast clouds,-0.95,100.35,Mercure Padang
208,Kudahuvadhoo,MV,83.03,clear sky,2.67,72.89,Kudahuvadhoo Retreat
212,Attur,IN,80.6,haze,11.6,78.62,எங்கவீட்டுப்பிள்ளை
222,Puri,IN,82.4,haze,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
223,Coruripe,BR,75.06,overcast clouds,-10.13,-36.18,Pousada e Hotel Litoral Sul
233,Isangel,VU,84.2,broken clouds,-19.55,169.27,Volcano Sea View Tree House
234,Bengkulu,ID,84.52,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
235,Muli,MV,82.89,clear sky,2.92,73.57,Medhufushi Island Resort
243,Dingle,PH,82.98,broken clouds,11.0,122.67,SEGAYA PROPERTY
247,Alofi,NU,78.8,overcast clouds,-19.06,-169.92,Taloa Heights
253,Hervey Bay,AU,82.0,heavy intensity rain,-25.3,152.85,Shelly Bay Resort
263,Galesong,ID,78.8,light rain,-5.32,119.37,Sapriadi Appy
264,Morant Bay,JM,78.01,few clouds,17.88,-76.41,Whispering Bamboo Cove Resort
265,San Policarpo,PH,82.74,scattered clouds,12.18,125.51,JM Lodge
274,Lakatoro,VU,84.2,light rain,-16.1,167.42,Lakatoro Palm Lodge
284,Nedjo,ET,77.85,clear sky,9.5,35.5,Yerosan Hotel
299,Banda Aceh,ID,84.51,heavy intensity rain,5.56,95.32,OYO 884 Rumoh PMI Hotel
312,Bandarbeyla,SO,78.24,scattered clouds,9.49,50.81,JABIR HOTEL
315,Port Keats,AU,84.78,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
322,Luanda,AO,80.6,scattered clouds,-8.84,13.23,EPIC SANA Luanda
331,Kalmunai,LK,82.71,scattered clouds,7.42,81.82,VS Villa
332,Haimen,CN,78.8,clear sky,23.19,116.61,Jinghao Business Hotel
336,Kribi,CM,82.45,light rain,2.95,9.92,Les Vagues bleues
337,Vanimo,PG,82.65,overcast clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
342,Veraval,IN,77.61,clear sky,20.9,70.37,Lords Inn Somnath
