City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mar Del Plata,AR,-38.0,-57.56,69.01,93,91,6.93,overcast clouds
1,Kedrovyy,RU,56.17,91.82,-25.6,67,78,4.47,mist
2,Rikitea,PF,-23.12,-134.97,78.76,78,100,14.09,moderate rain
3,Oranjemund,NA,-28.55,16.43,66.07,68,100,13.56,overcast clouds
4,Safaga,EG,26.73,33.94,64.4,59,50,9.17,scattered clouds
5,New Norfolk,AU,-42.78,147.06,73.0,44,65,4.0,broken clouds
6,Roald,NO,62.58,6.13,37.99,69,0,6.93,clear sky
7,Adrar,MR,20.5,-10.07,68.27,34,100,2.08,overcast clouds
8,Lasa,IT,46.62,10.7,21.2,92,5,9.17,clear sky
9,Souillac,MU,-20.52,57.52,80.6,74,75,14.99,light rain
10,Nangomba,TZ,-10.9,38.5,74.53,90,100,7.27,moderate rain
11,Sitka,US,57.05,-135.33,44.6,52,90,12.75,light snow
12,Hilo,US,19.73,-155.09,69.8,83,1,3.36,clear sky
13,Phuket,TH,8.0,98.25,87.8,58,20,10.29,few clouds
14,Mataura,NZ,-46.19,168.86,64.0,75,100,8.01,overcast clouds
15,Smithers,CA,54.78,-127.17,23.0,92,90,3.36,overcast clouds
16,Saint-Pierre,RE,-21.34,55.48,84.99,62,0,26.4,clear sky
17,Praia,CV,14.92,-23.51,71.6,88,75,20.8,broken clouds
18,Cap Malheureux,MU,-19.98,57.61,82.99,71,35,11.01,scattered clouds
19,Port Alfred,ZA,-33.59,26.89,71.01,90,17,5.01,few clouds
20,Barranca,PE,-10.75,-77.77,67.53,90,94,5.32,overcast clouds
21,Ostersund,SE,63.18,14.64,30.2,100,90,11.41,light snow
22,Marquette,US,46.53,-87.63,14.0,77,76,7.85,broken clouds
23,Provideniya,RU,64.38,-173.3,17.28,94,79,21.7,broken clouds
24,Dikson,RU,73.51,80.55,-25.42,84,0,8.1,clear sky
25,San Patricio,US,28.02,-97.52,68.0,88,75,14.99,broken clouds
26,Pisco,PE,-13.7,-76.22,68.0,88,90,12.75,overcast clouds
27,Bathsheba,BB,13.22,-59.52,77.0,88,40,2.24,scattered clouds
28,Yerbogachen,RU,61.28,108.01,-20.81,84,32,9.73,scattered clouds
29,Port Blair,IN,11.67,92.75,82.78,72,93,11.95,overcast clouds
30,Kruisfontein,ZA,-34.0,24.73,80.01,59,32,5.01,scattered clouds
31,Barrow,US,71.29,-156.79,-0.4,77,90,10.29,overcast clouds
32,San Quintin,MX,30.48,-115.95,55.08,71,29,6.31,scattered clouds
33,Bambous Virieux,MU,-20.34,57.76,82.99,74,75,14.99,light rain
34,Warrington,GB,53.39,-2.58,35.6,93,0,8.05,clear sky
35,Chapais,CA,49.78,-74.85,-5.8,83,75,9.17,broken clouds
36,East London,ZA,-33.02,27.91,77.0,73,0,9.17,clear sky
37,Bredasdorp,ZA,-34.53,20.04,73.4,56,75,11.41,broken clouds
38,Butaritari,KI,3.07,172.79,82.08,81,78,19.62,broken clouds
39,Arica,CL,-18.48,-70.3,69.8,83,72,3.36,broken clouds
40,Chokurdakh,RU,70.63,147.92,-38.11,83,49,3.22,scattered clouds
41,Sambava,MG,-14.27,50.17,81.9,79,97,8.01,moderate rain
42,Puerto Ayora,EC,-0.74,-90.35,73.0,95,50,5.99,light rain
43,Maumelle,US,34.87,-92.4,41.0,79,87,1.99,overcast clouds
44,Ushuaia,AR,-54.8,-68.3,44.6,93,75,6.93,broken clouds
45,Mahibadhoo,MV,3.78,72.97,82.67,71,4,10.18,clear sky
46,Puerto Madryn,AR,-42.77,-65.04,71.74,64,78,7.85,broken clouds
47,Kathmandu,NP,27.72,85.32,60.8,36,20,3.36,few clouds
48,Quatre Cocos,MU,-20.21,57.76,82.99,74,75,14.99,broken clouds
49,Georgetown,MY,5.41,100.34,90.0,66,20,8.05,light rain
50,Grindavik,IS,63.84,-22.43,26.6,79,75,3.36,broken clouds
51,Asarganj,IN,25.15,86.68,78.24,26,0,6.17,clear sky
52,Punta Arenas,CL,-53.15,-70.92,46.4,75,98,4.7,overcast clouds
53,Mount Gambier,AU,-37.83,140.77,68.0,60,90,13.87,overcast clouds
54,Tanout,NE,14.97,8.89,66.83,25,43,11.9,scattered clouds
55,Yagoua,CM,10.34,15.23,77.81,17,33,7.85,scattered clouds
56,Polessk,RU,54.86,21.1,42.8,87,40,15.66,scattered clouds
57,Ribeira Grande,PT,38.52,-28.7,57.2,62,75,11.41,broken clouds
58,Bambanglipuro,ID,-7.95,110.28,81.66,78,98,7.02,overcast clouds
59,Beloha,MG,-25.17,45.05,99.05,27,22,11.25,few clouds
60,Airai,TL,-8.93,125.41,71.28,86,99,2.59,overcast clouds
61,Rajampet,IN,14.18,79.17,80.6,61,20,7.85,haze
62,Clyde River,CA,70.47,-68.59,-2.2,77,61,3.02,broken clouds
63,Vaini,TO,-21.2,-175.2,77.0,88,75,3.36,broken clouds
64,Longyearbyen,SJ,78.22,15.64,33.8,69,75,21.92,light snow
65,Ixtapa,MX,20.7,-105.2,66.99,90,0,1.01,clear sky
66,Avera,US,33.19,-82.53,45.0,91,1,4.12,clear sky
67,Rawson,AR,-43.3,-65.1,74.17,56,93,6.15,overcast clouds
68,Saint-Philippe,RE,-21.36,55.77,84.99,62,0,26.4,clear sky
69,Yuli,NG,9.7,10.27,77.67,18,1,7.99,clear sky
70,Fort Nelson,CA,58.81,-122.7,1.4,91,40,3.36,scattered clouds
71,Karratha,AU,-20.74,116.85,90.5,55,0,18.86,clear sky
72,Okhotsk,RU,59.38,143.3,-24.57,76,1,12.86,clear sky
73,Sur,OM,22.57,59.53,73.94,37,0,12.12,clear sky
74,Portland,US,45.52,-122.68,37.0,80,20,2.51,few clouds
75,Busselton,AU,-33.65,115.33,95.0,25,57,4.0,broken clouds
76,Yellowknife,CA,62.46,-114.35,3.2,84,90,4.7,light snow
77,Bardiyah,LY,31.76,25.09,58.84,55,0,6.85,clear sky
78,Fairbanks,US,64.84,-147.72,28.4,78,75,5.82,broken clouds
79,Cherskiy,RU,68.75,161.3,-36.72,82,82,4.41,broken clouds
80,Atambua,ID,-9.11,124.89,81.72,73,87,5.06,moderate rain
81,Norman Wells,CA,65.28,-126.83,-2.2,77,75,2.24,broken clouds
82,Kapaa,US,22.08,-159.32,71.6,94,1,5.82,clear sky
83,Omsukchan,RU,62.53,155.8,-31.67,79,100,6.6,overcast clouds
84,Klaksvik,FO,62.23,-6.59,33.8,80,100,24.16,light snow
85,Albany,US,42.6,-73.97,34.0,61,32,9.98,scattered clouds
86,Nyurba,RU,63.28,118.33,-4.72,91,100,11.45,light snow
87,Tuktoyaktuk,CA,69.45,-133.04,-11.2,76,20,6.93,few clouds
88,Bluff,NZ,-46.6,168.33,64.0,75,100,8.01,overcast clouds
