City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Butaritari,KI,3.07,172.79,82.08,81,78,19.62
1,Dikson,RU,73.51,80.55,-25.42,84,0,8.1
2,Richards Bay,ZA,-28.78,32.04,88.07,55,0,12.15
3,Hilo,US,19.73,-155.09,69.8,83,1,3.36
4,Karakol,KG,42.49,78.39,24.62,85,11,1.41
5,Port Hedland,AU,-20.32,118.57,95.0,56,1,17.22
6,Port Alfred,ZA,-33.59,26.89,71.01,90,17,5.01
7,Ushuaia,AR,-54.8,-68.3,44.6,93,75,6.93
8,Vestmannaeyjar,IS,63.44,-20.27,28.4,68,20,11.41
9,Kobryn,BY,52.21,24.36,46.4,81,90,15.66
10,Byron Bay,AU,-28.65,153.62,80.01,74,100,12.75
11,Hobart,AU,-42.88,147.33,73.0,40,0,9.17
12,Coahuayana,MX,18.73,-103.68,66.25,78,0,3.65
13,Pevek,RU,69.7,170.31,-22.32,86,2,3.0
14,Airai,TL,-8.93,125.41,71.28,86,99,2.59
15,Qasigiannguit,GL,68.82,-51.19,16.36,92,100,4.97
16,Bethel,US,41.37,-73.41,37.4,59,1,6.93
17,Pangoa,PE,-12.12,-73.0,66.45,90,84,1.99
18,Laguna,US,38.42,-121.42,44.01,93,1,4.03
19,Thompson,CA,55.74,-97.86,12.2,85,90,9.17
20,Georgetown,MY,5.41,100.34,90.0,66,20,8.05
21,Ornskoldsvik,SE,63.29,18.72,33.8,100,100,12.75
22,Mataura,NZ,-46.19,168.86,64.0,75,100,8.01
23,Puerto Del Rosario,ES,28.5,-13.86,64.4,77,40,11.41
24,Bredasdorp,ZA,-34.53,20.04,73.4,56,75,11.41
25,La Ronge,CA,55.1,-105.28,1.4,84,99,2.24
26,Luba,GQ,3.46,8.55,77.0,100,20,4.7
27,Jamestown,US,42.1,-79.24,24.8,68,90,11.41
28,Bluff,NZ,-46.6,168.33,64.0,75,100,8.01
29,Hermanus,ZA,-34.42,19.23,70.0,66,33,5.01
